ID,cluster,Tema_Cluster,ementa detalhada
2603,19,Direito e Defesa do Consumidor,Alera o Decreto-lei 2.848 de 1940.
2608,19,Direito e Defesa do Consumidor,Altera o Decreto-Lei 2.848 de 1940.
2635,22,Educação,", logradouro público."
2648,35,Direitos Humanos e Minorias,Altera as Lei nº 10.753 de 2003 e 10.865 de 2004; o Decreto nº 7.212 de 2010 e o Decreto-lei nº 37 de 1966.
2653,7,Finanças Públicas e Orçamento,"Altera o Decreto-lei nº 5.452, de 1943."
2681,41,Direito Penal e Processual Penal,Altera o Decreto-lei nº 73 de 1966.
2693,27,Direito Civil e Processual Civil,Altera as Leis Complementares nº  87 de 1996 e 116 de 2003
2696,26,Direitos Humanos e Minorias,Altera a Lei nº 10.233 de 2001.
2704,43,Meio Ambiente e Desenvolvimento Sustentável,Altera a Lei nº 9.605 de 1998.
2705,43,Meio Ambiente e Desenvolvimento Sustentável,Altera a Lei nº 9.605 de 1998.
2707,26,Direitos Humanos e Minorias,Altera a Lei nº 10.741 de 2003.
2708,0,Trabalho e Emprego,Alteração a Lei nº 6.259 de 1975.
2710,7,Finanças Públicas e Orçamento,Altera o Decreto-lei nº 5452 de 1943.
2711,28,Direitos Humanos e Minorias,Altera a Lei nº 8.036 de 1990.
2736,43,Meio Ambiente e Desenvolvimento Sustentável,Altera a Lei nº 9.605 de 1998.
2822,7,Finanças Públicas e Orçamento,Revoga a Lei nº 13.364 de 2016.
2823,15,Direitos Humanos e Minorias,"Altera a Lei nº 12.965, de 23 de abril de 2014."
2841,34,Direito Penal e Processual Penal,"Altera as Leis nº 14.020 de 2020, 10.042 de 2020 e 10.043 de 2020."
2855,0,Trabalho e Emprego,Altera a Lei nº 10.865 de 2004.
2865,33,Direito e Defesa do Consumidor,Altera a Lei Complementar nº 123 de 2006.
2868,15,Direitos Humanos e Minorias,Altera a Lei nº 6.259 de 1975.
2884,30,Finanças Públicas e Orçamento,Altera a Lei nº 10.741 de 2003.
2891,0,Trabalho e Emprego,Altera o Decreto-lei nº 5.452 de 1943.
2905,16,Direito Civil e Processual Civil,Altera as Leis nº 13.105 de 2015 e 13.097 de 2015.
2908,19,Direito e Defesa do Consumidor,Altera a Lei nºº 8.078 de 1990.
2923,35,Direitos Humanos e Minorias,Altera a Lei nº 13.979 de 2020.
2925,26,Direitos Humanos e Minorias,Altera as Leis nº 6.404 de 1976 e 13.303 de 2016.
2931,35,Direitos Humanos e Minorias,Altera a Lei nº 13.979 de 2020.
2933,42,Direitos Humanos e Minorias,Altera a Lei nº 14.060 de 2020.
2934,8,Direito Penal e Processual Penal,"Altera a Lei nº 9.472, de 1997."
2946,15,Direitos Humanos e Minorias,"Altera a Lei nº 13.979, de 2020."
2992,1,Direito Civil e Processual Civil,"Altera a Lei nº 8.078, de 1990."
3034,28,Direitos Humanos e Minorias,"Revoga dispositivo da Lei º 5.540, de 1968 e a Lei º 9.192 de 1995."
3059,8,Direito Penal e Processual Penal,"Altera a Lei nº 13.105, de 2015."
3060,35,Direitos Humanos e Minorias,"Altera o Decreto-lei nº 5.452, de 1943."
3087,29,Direitos Humanos e Minorias,"Altera as Leis nº 13.756, de 2018 e 14.020 de 2020."
3097,31,Defesa e Segurança,"Alteras as Leis nº 8.080, de 1990 e 6.259, 1975."
3105,1,Direito Civil e Processual Civil,"Altera a Lei nº 8.245, de 1991."
3109,48,Viação,Altera a Lei nº 9.503 de 1997.
3148,27,Direito Civil e Processual Civil,"Altera a Lei nº 7.998, de 1990"
3155,32,Direito e Defesa do Consumidor,"Altera a Lei nº 4.737, de 1965."
3157,16,Direito Civil e Processual Civil,"Altera a Lei nº 9.250, de 1995."
3177,18,Processo Legislativo e Atuação Parlamentar,"Altera a Lei nº 8.078, de 1990."
3214,42,Direitos Humanos e Minorias,"Altera a Lei nº 9.250, de 1995."
3215,27,Direito Civil e Processual Civil,"Altera a Lei nº 8.078, de 1990."
3246,26,Direitos Humanos e Minorias,"Altera a Lei nº 13.431, de 2007."
3283,25,Finanças Públicas e Orçamento,"Altera a Lei nº 12.527, de 2011."
